CustomerID,ProductID,PurchaseAmount
277,45,742.459410611134
495,135,906.8262183107055
203,197,224.7062535361141
303,44,381.51980658497615
557,126,396.64346972694455
123,86,804.0837589312273
90,93,338.41681183550645
783,34,901.2250944191247
203,180,334.03356765101177
1,59,521.4643910599469
305,192,796.2056347295877
288,39,538.2463057975866
329,185,212.2690495675614
497,162,748.2684177778133
376,57,127.2028302812119
666,34,772.6643587579368
640,22,808.5148330904271
768,116,872.3995807778174
827,97,122.35345080806039
39,36,116.13018634402917
466,193,666.8982260200441
573,158,145.14671659749453
156,32,583.6677711504484
23,173,558.113486138838
38,96,288.0752475571876
187,55,224.8523270083046
568,69,235.61025661990868
383,54,704.0646544572437
79,39,441.911974201124
738,42,955.5506430032161
450,119,287.23810859068226
381,65,761.2323690584764
800,21,116.02572050581641
920,136,999.0359800492741
86,152,334.50714224260975
962,182,904.8165732899186
71,18,106.09093644568732
42,58,824.525376533196
202,91,478.32951229662535
206,113,594.3661224844417
190,60,85.34745446363439
69,171,207.75751919853272
952,126,185.89212510320675
690,3,703.5892989101388
529,142,242.78200927061235
331,3,157.90012331566683
227,187,320.02708838483863
722,37,986.1060053112672
929,145,282.2996030969262
165,35,476.82182113032235
87,172,147.84220396503358
256,85,942.8860192900682
518,110,107.3829009798375
381,65,514.1232026857112
77,200,104.65569166274969
167,47,826.417357919245
58,66,342.020252094548
788,32,298.13598939627525
228,111,514.1810969791935
277,120,552.32135254503
345,61,496.60034708092013
473,113,860.3901064606928
379,49,973.7945533856455
945,59,892.0618727258694
796,171,118.93107211063892
713,106,938.7292418124262
699,152,921.5753348023834
882,51,805.5848936040189
496,185,292.5112408310035
948,29,454.92596716525384
183,141,514.03783987159
799,137,353.0645548223764
240,15,483.43204130812273
460,147,91.35593324827497
894,156,839.6035742915407
141,184,480.51619924044036
236,99,905.941219602527
164,167,616.7501986839649
242,1,360.56216553047966
41,103,840.2343325103508
561,164,467.974153750461
709,171,69.35461698983767
44,143,943.0076475693423
434,134,319.55774660567397
489,38,524.550219457188
965,54,688.5520457403378
707,189,212.0444426795118
992,97,339.01391053953574
704,134,208.3184377499016
658,32,697.8312379242647
733,10,59.109410177284445
407,116,437.66285266068195
542,44,198.34292954691594
974,155,332.73488956306386
949,135,661.6991717162464
936,161,690.3224863664645
692,82,877.9731116102677
116,158,249.60861736310406
840,144,21.28754238252238
678,106,888.8152019594789
193,198,167.13181473752977
462,123,942.6963934879274
509,87,429.17660454212995
207,179,444.5938176515419
271,20,518.0598992998431
69,136,553.7504709716832
684,118,62.005037662364664
554,123,927.8356054385309
475,36,894.5070904147202
300,155,872.4863575942403
316,129,571.0150261591938
88,96,175.18381224845453
860,155,580.8149553197733
493,167,12.563820696860734
125,27,396.2459101093859
110,159,280.69802527649915
987,51,896.5852805501897
592,189,112.11465979802522
340,155,216.5278363194241
997,28,179.3643749786226
389,123,767.1319790782819
715,121,900.1849298444569
888,143,168.82646441052992
689,2,673.4597033738635
221,153,383.8655713027502
79,31,730.041147118128
704,87,86.18423529693423
415,159,696.1014139365261
156,37,340.2793970159017
353,82,112.41120496121931
461,170,438.3845723563153
31,129,51.03022217048892
684,122,742.7181743471821
390,125,215.7236398391299
633,156,576.8163328225604
173,51,308.23747480153975
714,165,801.9612612521911
434,99,923.1832905495347
907,97,950.6897069965246
564,111,670.0367756160606
609,42,847.337625082161
260,15,524.204612592402
488,195,855.0650229724994
606,150,290.5534010420671
797,31,987.0358601966988
868,99,950.9219812134339
267,163,87.15670311042767
854,187,71.26024195653264
184,75,506.6627249080287
645,19,377.6288982670704
584,164,726.5223976601586
246,146,312.95473576810156
664,118,700.3062193931031
18,13,325.2818983052385
781,45,647.3359589516509
919,84,902.1638635000942
486,85,345.1067318041304
628,115,698.1291960552231
222,11,832.3376124860797
855,103,283.18637178787947
61,93,312.83422870767504
143,83,812.3098223575032
484,2,21.64469466241866
751,176,124.49885414004153
496,35,105.04791830906122
775,136,305.0849017467849
627,177,805.2496239172729
895,193,461.96690533922293
954,158,997.1100943937306
967,82,284.45057301174694
787,36,469.4426886086827
705,137,772.8811061938765
631,81,433.0072590425908
838,9,451.4667947223146
517,28,505.047666529156
655,8,303.74824363406464
107,87,749.6007592378163
664,167,899.241225255495
98,183,937.3299359343806
855,196,715.2886036763211
190,148,961.368601236053
905,166,100.85127700670344
932,18,644.7677018358203
878,155,963.5878635988666
495,54,952.2409203108141
655,13,431.8734982260968
616,39,673.2062058922584
705,84,248.69912190888792
989,93,694.5704498063823
798,73,493.81151575626825
387,33,579.0011072569405
54,91,549.9199072273308
480,102,530.6663892067074
253,44,191.3918973571253
147,15,17.163188084239998
85,48,463.8288456756584
603,155,773.4126604319002
511,180,269.90931186920943
972,69,844.6221026764551
758,45,570.3204965426316
172,83,146.22227278274738
974,197,242.70215058969694
383,66,120.6919194650408
658,100,37.368870722820674
108,173,917.9950810904522
808,56,220.0543403685356
350,43,70.11611567046162
600,57,900.0521887997177
277,11,231.6404005457149
586,69,55.27284406229773
466,141,566.7911112536298
695,28,235.5382641331283
745,84,980.516919305563
528,119,345.7512825866203
39,41,870.4671854271128
199,117,931.6738502749938
504,189,377.8065186893048
371,194,751.3216149709673
700,170,369.92832525737015
247,67,415.33319387082247
638,118,801.9971477349229
33,56,101.86612691928585
477,96,786.7333147115017
504,145,627.4972687531919
642,95,131.7258272975812
771,179,304.4044033296212
804,167,608.5082285225591
525,41,710.1057590355144
111,140,890.8315933997615
36,172,183.33657405278538
854,23,408.12726444420633
983,23,938.9379939776544
791,1,642.2692212867095
925,199,347.5305424736719
929,57,976.9545667162154
940,31,926.2050501779778
461,110,313.4446028834288
708,1,996.559439933418
69,28,544.1310402069693
881,97,120.96837439337871
425,32,951.9805833777871
854,6,155.45176103033415
745,23,97.06671753005014
530,87,166.21168395784423
616,31,792.845850368744
723,148,933.6174039762387
909,161,993.912212168125
15,20,235.54074668091215
921,44,241.72097705708407
518,140,40.16550583216145
291,185,460.23183015521465
430,67,33.88830451621755
829,124,930.8321613943413
676,64,325.4298098159693
563,160,162.68751132034438
424,94,433.0755860369251
451,131,679.6817735021058
500,185,117.94974156614646
116,11,365.19047578946413
790,2,874.4271006787789
457,56,740.6532627593002
347,177,41.799177651178915
219,87,941.6948486164761
990,146,99.24983997394082
615,170,869.7542973557685
333,42,562.3587441590972
209,144,657.9458594633352
45,96,515.6321609896278
31,44,186.3424617789699
299,152,551.6475925395423
726,123,528.3144366093466
806,100,28.11323830546445
452,70,580.2221671938568
97,77,725.7661641615117
836,2,536.3799630486377
267,111,507.10904953319437
527,114,124.75558334563671
892,45,358.29217061332037
852,133,315.6896348813119
886,51,267.0578287982875
985,171,561.5981815759088
631,191,607.7905943456245
339,126,859.5531999686187
821,10,555.9712979202835
193,187,309.361367921723
13,122,898.8886089123331
301,80,833.10054066614
953,144,354.37930017590065
588,4,566.0042777293054
531,174,313.2265558271373
960,33,267.447265055921
624,158,674.2658856490884
575,165,369.8297758850899
343,22,909.422271589093
223,89,873.1802251548777
145,152,115.43744907330314
634,187,125.95931931429382
341,120,641.0475135070761
443,184,45.07801035037449
99,58,873.2730756144238
745,101,270.0180715490731
989,5,160.4357182999881
32,167,581.3812522024143
529,48,341.6314349704065
460,161,719.0604857353734
590,115,996.0074082666486
487,199,921.5567704478957
369,183,179.75501494642168
783,121,809.7456268097886
445,36,386.1691044318601
432,38,463.07391915161793
859,148,780.7238531261416
511,118,758.9136809272662
491,186,920.7437933208165
35,58,567.3111940675223
941,160,489.0260616956148
883,83,770.4891560020657
586,78,306.2367889763741
196,148,441.4842022764558
872,75,662.7447188925754
98,95,740.5596000034061
839,132,224.29339355894942
322,98,210.53829818630314
490,69,444.4770353435781
997,72,644.2997559219747
528,184,486.3340144026618
365,88,926.4574927791949
134,89,963.7629037751036
897,198,371.05490339724355
728,146,488.8401435214377
551,82,390.9347782318949
753,169,194.80654008774678
461,59,369.99741465911
201,176,535.0478719507388
32,168,856.4831846486982
876,36,508.34595238092004
71,161,766.9816547493925
518,18,327.1502011853454
201,189,754.3386346362628
543,150,776.3517455767188
249,29,554.5102776202698
890,111,134.8098881263429
678,197,539.4634191140206
215,82,422.6012000997577
298,98,176.4577550141196
155,188,471.588537012919
237,182,367.0936097740604
179,185,570.2819698860164
